,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude
133,CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12560,-6.28842513358701,106.818260436181
134,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12620,-6.33624440887184,106.82332319734
135,CIGANJUR,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630,-8.7996802,115.1506101
136,CIPEDAK,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630,-8.7996802,115.1506101
137,LENTENG AGUNG,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630,-8.7996802,115.1506101
138,SRENGSENG SAWAH,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12640,-6.345044,106.8337234
139,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,-6.24446746449829,106.818480951476
140,PELA MAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12720,-6.2476943,106.8157651
141,BANGKA,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12730,-6.25662771227518,106.81541322577
142,KALIBATA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12740,-6.26292724962217,106.840490114179
143,RAWA JATI,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12750,-6.25515570506156,106.852489403994
144,DUREN TIGA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12760,-6.25531754656587,106.83404065322
145,CIKOKO,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770,-6.24769512654386,106.851381161787
146,PENGADEGAN,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770,-6.24769512654386,106.851381161787
147,PANCORAN,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12780,-6.2598463,106.8306376
148,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,-6.24821293151175,106.826520782752
149,TEGAL PARANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,-6.24821293151175,106.826520782752
150,TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,12810,-6.23398779649683,106.848755487752
151,TEBET TIMUR,TEBET,JAKARTA SELATAN,DKI JAKARTA,12820,-6.23436738651189,106.855899651953
152,KEBON BARU,TEBET,JAKARTA SELATAN,DKI JAKARTA,12830,-6.22949164506115,106.859613727368
153,BUKIT DURI,TEBET,JAKARTA SELATAN,DKI JAKARTA,12840,-6.22159888282918,106.857688993152
154,MANGGARAI,TEBET,JAKARTA SELATAN,DKI JAKARTA,12850,-6.21202836311504,106.847971632872
155,MANGGARAI SELATAN,TEBET,JAKARTA SELATAN,DKI JAKARTA,12860,-6.22007727575719,106.849791854432
156,MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,12870,-6.2357529,106.8535774
157,SETIABUDI,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12910,-6.225604,106.8329316
158,KARET,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12920,-6.22188093199923,106.831344566177
159,KARET SEMANGGI,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12930,-6.22345296562002,106.817081306641
160,KARET KUNINGAN,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12940,-6.23926304574184,106.827511888396
161,KUNINGAN TIMUR,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12950,-6.23049143744232,106.822680299306
162,MENTENG ATAS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12960,-6.21940631509053,106.836904776383
163,PASAR MANGGIS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12970,-6.21632515765704,106.837489765713
164,GUNTUR,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,12980,-6.20704844488206,106.832470402081
165,PISANGAN BARU,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13110,-6.21157922809269,106.86450224279
166,UTAN KAYU SELATAN,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13120,-6.19571813914728,106.86903883976
167,UTAN KAYU UTARA,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13120,-6.19571813914728,106.86903883976
168,KAYU MANIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13130,-6.19691919447,106.868977344818
169,PAL MERIAM,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13140,-6.20226945,106.85653815
170,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,13150,-8.7996802,115.1506101
171,KAYU PUTIH,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13210,-6.1821061865514,106.88912006033
172,JATI,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220,-6.20019440130273,106.884518939471
173,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220,-6.20019440130273,106.884518939471
174,PISANGAN TIMUR,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13230,-6.20818094032988,106.87877224841
175,CIPINANG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13240,-6.26210468456635,106.882172902084
176,JATINEGARA KAUM,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13250,-6.19261200259672,106.892226515377
177,PULO GADUNG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13260,-6.2190104,106.8804074
178,BALI MESTER,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13310,-6.22007456468135,106.870429683391
179,KAMPUNG MELAYU,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13320,-6.2247197635407,106.866912458036
180,BIDARACINA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13330,-6.2398637,106.8664911
181,CIPINANG CEMPEDAK,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13340,-6.24602076683626,106.869519772154
182,RAWA BUNGA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13350,-6.21680837773747,106.868907627889
183,CIPINANG BESAR SELATAN,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13410,-6.22299381980359,106.876065080293
184,CIPINANG BESAR UTARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13410,-6.22299381980359,106.876065080293
185,CIPINANG MUARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13420,-6.2353271885967,106.882427481274
186,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13430,-6.23896826666667,106.905702433333
187,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13440,-6.23425818346542,106.921162502148
188,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13450,-6.22470543633319,106.917013936806
189,MALAKA JAYA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460,-6.22488050429208,106.934054200143
190,MALAKA SARI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460,-6.22488050429208,106.934054200143
191,PONDOK KOPI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460,-6.22488050429208,106.934054200143
192,KLENDER,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13470,-6.21758606120209,106.905677515326
193,KRAMAT JATI,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13510,-6.26978022815706,106.865577155025
194,BATUAMPAR,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13520,-6.26331864003645,106.863899461139
195,BALEKAMBANG,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13530,-6.28108975336839,106.851798207201
196,KAMPUNG TENGAH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13540,-6.28608977285581,106.869730098458
