,id,Subdistricts,District,Regency,Province,PostalCode
223,224,CAKUNG BARAT,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13910
224,225,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13910
225,226,RAWA TERATE,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13920
226,227,JATINEGARA,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13930
227,228,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13940
228,229,PULO GEBANG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13950
229,230,UJUNG MENTENG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13960
230,231,KALI BARU,CILINCING,JAKARTA UTARA,DKI JAKARTA,14110
231,232,CILINCING,CILINCING,JAKARTA UTARA,DKI JAKARTA,14120
232,233,SEMPER BARAT,CILINCING,JAKARTA UTARA,DKI JAKARTA,14130
233,234,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,14130
234,235,ROROTAN,CILINCING,JAKARTA UTARA,DKI JAKARTA,14140
235,236,SUKAPURA,CILINCING,JAKARTA UTARA,DKI JAKARTA,14140
236,237,MARUNDA,CILINCING,JAKARTA UTARA,DKI JAKARTA,14150
237,238,KOJA (UTARA  SELATAN),KOJA,JAKARTA UTARA,DKI JAKARTA,14210
238,239,RAWA BADAK SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,14230
239,240,RAWA BADAK UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,14230
240,241,KELAPA GADING BARAT,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240
241,242,KELAPA GADING TIMUR,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240
242,243,PEGANGSAAN DUA,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14250
243,244,TUGU SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,14260
244,245,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,14260
245,246,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,14270
246,247,TANJUNG PRIOK,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14310
247,248,KEBON BAWANG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14320
248,249,SUNGAI BAMBU,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14330
249,250,PAPANGGO,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14340
250,251,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350
251,252,SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14360
252,253,WARAKAS,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14370
253,254,PADEMANGAN TIMUR,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14410
254,255,PADEMANGAN BARAT,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14420
255,256,ANCOL,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14430
256,257,PENJARINGAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14440
257,258,PEJAGALAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450
258,259,PLUIT,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450
259,260,KAPUK MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14460
260,261,KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14470
261,262,PULAU UNTUNG JAWA,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14510
262,263,PULAU PARI,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14520
263,264,PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14520
264,265,PULAU PANGGANG,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14530
265,266,PULAU HARAPAN,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14540
266,267,PULAU KELAPA,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14540
