,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude,Note
118,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12310,-6.27204369716664,106.770870379109,"12310 Jakarta, Indonesia"
119,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12320,-8.7996802,115.1506101,"12320 Jakarta, Indonesia"
120,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12330,-8.7996802,115.1506101,"12330 Jakarta, Indonesia"
121,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12410,-6.2723997,106.8023933,"12410 Jakarta, Indonesia"
122,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12420,-6.27623751171526,106.795610725556,"12420 Jakarta, Indonesia"
123,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12430,-6.2833735,106.8080137,"12430 Jakarta, Indonesia"
124,LEBAK BULUS,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12440,-6.3079422,106.7813729,"12440 Jakarta, Indonesia"
125,PONDOK LABU,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12450,-6.30609584377289,106.791743921388,"12450 Jakarta, Indonesia"
126,PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,-6.27593629190494,106.839492233956,"12510 Jakarta, Indonesia"
127,PEJATEN TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510,-6.27593629190494,106.839492233956,"12510 Jakarta, Indonesia"
128,KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,-6.30365801255193,106.827071700455,"12520 Jakarta, Indonesia"
129,PASAR MINGGU,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520,-6.30365801255193,106.827071700455,"12520 Jakarta, Indonesia"
130,TANJUNG BARAT,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12530,-6.30562510595588,106.844617384985,"12530 Jakarta, Indonesia"
131,JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12540,-6.29154333003495,106.829733897972,"12540 Jakarta, Indonesia"
132,RAGUNAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12550,-6.2839213,106.8397898,"12550 Jakarta, Indonesia"
133,CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12560,-6.28842513358701,106.818260436181,"12560 Jakarta, Indonesia"
134,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12620,-6.33624440887184,106.82332319734,"12620 Jakarta, Indonesia"
135,CIGANJUR,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630,-8.7996802,115.1506101,"12630 Jakarta, Indonesia"
136,CIPEDAK,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630,-8.7996802,115.1506101,"12630 Jakarta, Indonesia"
137,LENTENG AGUNG,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630,-8.7996802,115.1506101,"12630 Jakarta, Indonesia"
138,SRENGSENG SAWAH,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12640,-6.345044,106.8337234,"12640 Jakarta, Indonesia"
139,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,-6.24446746449829,106.818480951476,"12710 Jakarta, Indonesia"
140,PELA MAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12720,-6.2476943,106.8157651,"12720 Jakarta, Indonesia"
141,BANGKA,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12730,-6.25662771227518,106.81541322577,"12730 Jakarta, Indonesia"
142,KALIBATA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12740,-6.26292724962217,106.840490114179,"12740 Jakarta, Indonesia"
143,RAWA JATI,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12750,-6.25515570506156,106.852489403994,"12750 Jakarta, Indonesia"
144,DUREN TIGA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12760,-6.25531754656587,106.83404065322,"12760 Jakarta, Indonesia"
145,CIKOKO,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770,-6.24769512654386,106.851381161787,"12770 Jakarta, Indonesia"
146,PENGADEGAN,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770,-6.24769512654386,106.851381161787,"12770 Jakarta, Indonesia"
147,PANCORAN,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12780,-6.2598463,106.8306376,"12780 Jakarta, Indonesia"
148,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,-6.24821293151175,106.826520782752,"12790 Jakarta, Indonesia"
149,TEGAL PARANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,-6.24821293151175,106.826520782752,"12790 Jakarta, Indonesia"
150,TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,12810,-6.23384705790055,106.848884510358,"12810 Jakarta, Indonesia"
